Ax,Ay,Az,Gx,Gy,Gz,Label
1.02,0.01,0.01,-0.94,0.33,0.2,BELAKANG
1.02,0.01,0.01,-0.99,0.02,0.65,BELAKANG
1.03,0.01,-0.01,-1.05,0.01,-0.15,BELAKANG
1.03,0,0.01,-1.18,1.05,0.36,BELAKANG
1.02,0.01,0.02,-1.11,0,0.03,BELAKANG
1.02,0.01,0.01,-0.98,0.51,0.21,BELAKANG
1.04,0,0.01,-0.92,0.5,0.15,BELAKANG
1.03,0.01,0.01,-0.95,0.24,0.22,BELAKANG
1.03,0.01,0.01,-1.15,0.5,0.28,BELAKANG
1.03,0,0.01,-1.32,0.37,0.22,BELAKANG
1.03,0.01,0.01,-0.98,0.43,0.31,BELAKANG
1.03,0.01,0.01,-1.11,0.37,0.44,BELAKANG
1.03,0.01,0.01,-1.18,0.26,0.14,BELAKANG
1.03,0.01,0.01,-1.06,0.39,0.18,BELAKANG
1.02,0.01,0.01,-0.96,0.52,0.27,BELAKANG
1.02,0,0.02,-1.08,1.01,0.31,BELAKANG
1.03,0,0.01,-1.05,0.03,-0.08,BELAKANG
1.02,0.01,0,-1.12,0.34,0.11,BELAKANG
1.03,0.01,0.01,-1.27,0.71,0.18,BELAKANG
1.03,0.01,0.01,-0.97,0.5,0.18,BELAKANG
1.03,0.01,0.01,-1.07,0.16,0,BELAKANG
1.03,0.01,0,-1.05,0.52,0.17,BELAKANG
1.03,0.01,0.01,-1.02,0.35,0.08,BELAKANG
1.03,0,0.01,-1.18,0.5,0.19,BELAKANG
1.03,0,0.01,-1.06,0.63,0.26,BELAKANG
1.03,0.01,-0.01,-0.89,0.13,0.15,BELAKANG
1.03,0,0.01,-1.08,0.66,0.33,BELAKANG
1.03,0.01,0.01,-0.96,-0.02,-0.14,BELAKANG
1.03,0,0,-1.21,0.65,0.11,BELAKANG
1.03,0.01,0,-1.2,0.26,0.21,BELAKANG
1.03,0.01,0.01,-1.08,0.24,0.21,BELAKANG
1.03,0.01,0.01,-1.08,0.65,0.27,BELAKANG
1.03,0,0,-1.08,0.37,0.15,BELAKANG
1.03,0,0.01,-1.18,0.3,0.26,BELAKANG
1.03,0.01,0.01,-0.93,0.41,0.08,BELAKANG
1.02,0,0.01,-0.85,0.44,-0.07,BELAKANG
1.03,0.01,0.01,-1.03,0.55,0.08,BELAKANG
1.03,0.01,0.01,-1.05,0.27,0.13,BELAKANG
1.03,0.01,0.01,-1.04,0.44,0.27,BELAKANG
1.03,0.01,0,-0.89,0.27,0.14,BELAKANG
1.02,0,0.01,-1.18,0.37,0.28,BELAKANG
1.02,0.01,0.02,-1.07,0.53,0.27,BELAKANG
1.04,0.01,0,-1.12,0.38,0.08,BELAKANG
1.03,0.01,0.01,-0.97,0.55,0.27,BELAKANG
1.03,0.01,0.01,-1.11,0.27,0.03,BELAKANG
1.03,0,0.01,-1.2,0.5,0.15,BELAKANG
1.03,0.01,0.01,-0.98,0.48,0.08,BELAKANG
1.03,0.01,0.01,-0.82,0.29,0.16,BELAKANG
1.03,0.01,0.01,-1.08,0.44,0.18,BELAKANG
1.03,0.01,0,-1.01,0.31,0.01,BELAKANG
1.03,0.01,0.01,-0.98,0.63,0.28,BELAKANG
1.03,0.01,0.01,-0.98,0.18,-0.02,BELAKANG
1.03,0,0,-1.11,0.76,0.34,BELAKANG
1.02,0.01,0.01,-0.92,0.33,0.1,BELAKANG
1.03,0.01,0,-1.18,0.59,0.22,BELAKANG
1.03,0.01,0,-1.05,0.5,0.08,BELAKANG
1.02,0.01,0.01,-1.13,0.39,0.24,BELAKANG
1.03,0.01,0.01,-1.13,0.6,0.2,BELAKANG
1.03,0.01,0,-1.17,0.31,-0.02,BELAKANG
1.03,0.01,0.01,-1.08,0.35,0.17,BELAKANG
1.03,0,0.01,-0.95,0.18,0.28,BELAKANG
1.03,0.01,0.01,-1.04,0.35,0.13,BELAKANG
1.03,0.01,0.01,-1.08,0.36,0.09,BELAKANG
1.02,0.01,0.01,-1.23,0.62,0.24,BELAKANG
1.03,0,0.01,-1.26,0.53,0.2,BELAKANG
1.03,0.01,0,-0.99,0.24,0.05,BELAKANG
1.03,0,0.02,-1.11,0.45,0.09,BELAKANG
1.03,0.01,0,-1.16,0.34,0.24,BELAKANG
1.03,0.01,0.01,-1.02,0.53,0.24,BELAKANG
1.03,0.01,0.01,-1.05,0.34,0.13,BELAKANG
1.03,0,0.01,-0.92,0.46,0.36,BELAKANG
1.03,0.01,0,-1.08,0.47,-0.05,BELAKANG
1.03,0.01,0,-1.07,0.46,0.04,BELAKANG
1.03,0.01,0.02,-1.13,0.63,0.24,BELAKANG
1.03,0.01,0.02,-1.14,0.35,0.19,BELAKANG
1.03,0.01,0.01,-0.95,0.24,0.05,BELAKANG
1.03,0.01,0.01,-1.01,0.33,0,BELAKANG
1.03,0.01,0.01,-1.08,0.6,0.23,BELAKANG
1.02,0.01,0.01,-0.9,0.4,0.18,BELAKANG
1.03,0.01,0.01,-1.11,0.22,0.22,BELAKANG
1.03,0.01,0.01,-1,0.54,0.28,BELAKANG
1.03,0,0.01,-1.05,0.45,0.11,BELAKANG
1.03,0.01,0,-1.08,0.27,0.15,BELAKANG
1.03,0.01,0,-1.03,0.28,0.17,BELAKANG
1.03,0,0.01,-1.03,0.23,0.04,BELAKANG
1.03,0.01,0.01,-0.99,0.31,0.05,BELAKANG
1.03,0.01,0,-1.08,0.32,0.15,BELAKANG
1.03,0.01,0,-1.09,0.59,0.14,BELAKANG
1.03,0.01,0.01,-1.08,0.31,0.27,BELAKANG
1.03,0,0.02,-1.03,0.68,0.29,BELAKANG
1.03,0.01,0,-1.08,0.24,0.02,BELAKANG
1.03,0.01,0.01,-1.08,0.27,0.16,BELAKANG
1.03,0.01,0,-0.98,0.54,0.09,BELAKANG
1.03,0,0.01,-1.06,0.31,0.16,BELAKANG
1.03,0.01,0.01,-1.27,0.38,0.35,BELAKANG
1.03,0.01,0,-1.06,0.32,-0.02,BELAKANG
1.03,0.01,0.02,-0.95,0.56,-0.01,BELAKANG
1.03,0,0.01,-1.08,0.39,0.37,BELAKANG
1.03,0.01,0.01,-0.98,0.4,0.03,BELAKANG
1.03,0.01,0,-1.21,0.54,0.05,BELAKANG
1.02,0.01,0,-1,0.42,-0.02,BELAKANG
1.03,0.01,0,-1.08,0.38,0.27,BELAKANG
1.03,0.01,0.01,-1.08,0.38,0.05,BELAKANG
1.02,0.01,0.01,-1.01,0.5,0.05,BELAKANG
1.03,0,0.02,-0.84,0.3,0.11,BELAKANG
1.03,0.01,0.02,-1.08,0.77,0.24,BELAKANG
1.03,0.01,0.01,-0.95,0.44,0.12,BELAKANG
1.03,0.01,0,-0.9,0.4,0.02,BELAKANG
1.03,0,0.01,-1.05,0.4,0.19,BELAKANG
1.03,0.01,0,-0.99,0.56,0.1,BELAKANG
1.03,0,0.01,-0.97,0.44,0.05,BELAKANG
1.03,0.01,0,-1.16,0.32,-0.02,BELAKANG
1.02,0,0.01,-1.17,0.53,-0.08,BELAKANG
1.03,0.01,0,-1.27,0.67,0.38,BELAKANG
1.02,0.02,0.04,-1.03,-0.74,-0.41,BELAKANG
1.02,0,-0.01,-1.16,1.02,0.5,BELAKANG
1.04,0.01,0.03,-1.09,0.25,-0.07,BELAKANG
1.03,0.01,-0.01,-1.12,0.43,0.05,BELAKANG
1.03,0,0.01,-1.21,0.61,0.21,BELAKANG
1.03,0.01,0,-1.12,0.14,-0.01,BELAKANG
1.02,0,0,-1.05,0.35,0.47,BELAKANG
1.03,0.01,0.01,-0.95,0.21,-0.02,BELAKANG
1.02,0.01,0,-1.16,0.2,0.12,BELAKANG
1.03,0.01,0.01,-1.11,0.67,0.2,BELAKANG
1.03,0,0,-1.17,0.21,0.03,BELAKANG
1.03,0.01,0.01,-1.15,0.34,0.06,BELAKANG
1.03,0.01,0.01,-1.29,0.12,0.02,BELAKANG
1.02,0.01,0,-1.06,0.12,0.05,BELAKANG
1.03,0.01,0.01,-1.2,0.6,0.27,BELAKANG
1.03,0.01,0.01,-1.18,0.48,0.12,BELAKANG
1.03,0.01,0.01,-1,0.17,-0.06,BELAKANG
1.03,0.01,0.01,-0.91,0.39,0.21,BELAKANG
1.03,0.01,0,-1.13,0.25,0.11,BELAKANG
1.04,0.01,0.01,-1.09,0.56,0.08,BELAKANG
1.03,0.01,0.02,-1.02,0.35,-0.04,BELAKANG
1.03,0,0,-0.84,0.46,0.18,BELAKANG
1.03,0.01,0.01,-1.08,0.21,0.11,BELAKANG
1.03,0.01,0.01,-1.18,0.51,0.23,BELAKANG
1.03,0,0.01,-1.27,0.56,0.32,BELAKANG
1.03,0,0,-1.05,0.34,0.04,BELAKANG
1.03,0.01,0.01,-1.2,0.31,0.16,BELAKANG
1.03,0,0,-1.11,0.21,0.01,BELAKANG
1.03,0.01,0,-1.04,0.56,0.08,BELAKANG
1.03,0.01,0.01,-1.04,0.34,0.09,BELAKANG
1.03,0,0.02,-1.09,0.65,0.24,BELAKANG
1.03,0,0,-1.3,0.36,0.05,BELAKANG
1.03,0.01,0,-1.27,0.62,0.34,BELAKANG
1.04,0.01,0.01,-0.94,0.39,0.15,BELAKANG
1.03,0.01,0,-0.9,0.37,0.32,BELAKANG
1.03,0.01,0.01,-1.14,0.34,0.19,BELAKANG
1.03,0.01,0,-1.05,0.39,0.16,BELAKANG
1.03,0.01,0.01,-1.01,0.31,0.17,BELAKANG
1.03,0.01,0.01,-1.17,0.25,0.03,BELAKANG
1.03,0.01,0.01,-1.11,0.29,0.14,BELAKANG
1.02,0.01,0.01,-1.13,0.49,0.01,BELAKANG
1.03,0.01,0.01,-1.21,0.5,0.3,BELAKANG
1.03,0,0,-1.07,0.47,0.24,BELAKANG
1.03,0.01,0.01,-1.17,0.28,0.16,BELAKANG
0,1,0.05,-1.78,0.55,0.29,KIRI
0,1,0.04,-0.88,0.18,0.54,KIRI
0.02,1,0.03,-1.04,0.42,1.14,KIRI
0.02,1,0.03,-0.92,0.5,0.02,KIRI
0.01,1,0.05,-1.23,0.28,0.45,KIRI
0.02,1,0.03,-0.7,0.34,0.63,KIRI
-0.03,1,0.05,-1.1,-3.34,1.31,KIRI
0,1,0.04,-1.07,0.66,1.28,KIRI
0,1,0.03,-1.37,0.29,-0.61,KIRI
0,1,0.03,-1.26,0.31,-0.02,KIRI
0.02,1,0.04,-0.97,0.37,0.76,KIRI
0.06,0.99,0.03,-1.43,0.36,-2.54,KIRI
0.04,1,0.03,-1.37,0.48,-0.12,KIRI
0.02,1,0.03,-0.8,0.33,2.67,KIRI
0.02,1,0.03,-1.26,0.45,-2.49,KIRI
0.02,1,0.03,-0.79,0.44,0.65,KIRI
0.02,1,0.02,-0.59,0.5,1.66,KIRI
0.03,0.99,0.03,-0.47,0.42,1.48,KIRI
0.02,0.99,0.04,-1.03,0.47,0.42,KIRI
0.02,1,0.03,-1.36,0.39,0.03,KIRI
0.02,1,0.03,-0.98,0.39,0.56,KIRI
0.02,1,0.04,-1.21,0.36,-0.57,KIRI
0.01,1,0.04,-1.16,0.2,-0.27,KIRI
0.03,1,0.03,-0.99,0.63,0.41,KIRI
0.03,1,0.03,-1.22,0.34,0.29,KIRI
0.02,1,0.04,-1.38,0.66,-0.63,KIRI
0.02,1,0.03,-1.34,0.45,-0.62,KIRI
0.01,1,0.04,-0.95,0.44,0.85,KIRI
0.02,1,0.04,-1.06,0.35,0.4,KIRI
0.01,1,0.02,-1.24,0.37,-0.08,KIRI
0.01,1,0.03,-1.1,0.56,1.08,KIRI
0.01,1,0.04,-0.92,0.39,1.37,KIRI
0.01,1,0.03,-0.51,0.31,2.89,KIRI
0.02,1,0.03,-0.88,0.54,1.53,KIRI
0.01,1.01,0.01,-0.95,0.41,1.26,KIRI
0.02,0.99,0.05,-1.71,0.31,-0.64,KIRI
-0.02,1,0.03,-1.29,0.44,-0.28,KIRI
0.04,1,0.01,-1.48,0.37,-0.41,KIRI
0.01,0.99,0.04,-1.05,0.34,0.63,KIRI
0.02,0.99,0.04,-0.93,0.44,-0.37,KIRI
0.03,1.01,0.03,-0.56,0.12,0.69,KIRI
0.03,0.99,0.04,-1.49,0.4,-0.98,KIRI
0.03,1,0.04,-1.05,0.28,0.22,KIRI
0.02,1,0.05,-1.15,0.46,0.94,KIRI
0.03,1,0.02,-0.63,0.4,-1.02,KIRI
0.02,1,0.04,-0.92,0.34,0.57,KIRI
0.03,1,0.01,-1.22,0.51,-0.97,KIRI
0.01,1,0.03,-1.39,0.39,-1.75,KIRI
0.03,1,0.04,-1.15,0.52,-1.19,KIRI
0.03,1,0.02,-0.91,0.37,0.81,KIRI
0.03,1,0.04,-1.17,0.6,1.34,KIRI
0,1,0.03,-1.46,0.41,-0.94,KIRI
0.01,1,0.04,-1.16,0.28,0.11,KIRI
0.02,0.99,0.04,-0.86,0.42,0.69,KIRI
0.03,1,0.03,-0.6,0.42,0.95,KIRI
0.01,1,0.03,-1.39,0.42,-0.03,KIRI
0.02,1,0.03,-1.17,0.51,-1.2,KIRI
0.01,1,0.03,-1.04,0.47,-0.21,KIRI
0.01,1,0.03,-1.2,0.37,0.51,KIRI
0.02,1,0.02,-1.5,0.4,-1.3,KIRI
0.01,1,0.03,-0.9,0.24,0.11,KIRI
0.01,1,0.02,-1.17,0.33,0.02,KIRI
0.02,1,0.03,-1.46,0.44,-0.6,KIRI
0.02,1,0.04,-1.32,0.52,0.25,KIRI
0.03,0.99,0.02,-1.18,0.34,-0.24,KIRI
0.01,1,0.03,-1.14,0.42,-0.44,KIRI
0.01,1,0.03,-1.11,0.38,0.25,KIRI
0,1,0.04,-0.95,0.44,1.06,KIRI
0.03,0.99,0.03,-0.49,0.25,1.44,KIRI
0.02,1,0.03,-1.11,0.4,1.04,KIRI
0,1,0.03,-0.69,0.2,1.36,KIRI
0.01,1,0.03,-1.05,0.44,1.15,KIRI
0.03,1,0.03,-1.11,0.5,0.79,KIRI
0.01,1,0.03,-1.33,0.38,-0.43,KIRI
0.02,1,0.04,-1.02,0.56,0.92,KIRI
0.03,1,0.03,-0.74,0.1,1.26,KIRI
0.02,0.99,0.03,-0.88,0.4,0.31,KIRI
0.01,1.11,0.09,-0.9,0.36,0.69,KIRI
0.01,1,0.04,-1.3,0.4,-0.83,KIRI
0.02,1.01,0.03,-1.49,0.44,-0.49,KIRI
0.03,0.99,0.03,-1.05,0.46,0.4,KIRI
0.02,1,0.04,-1.07,0.46,0.47,KIRI
0.02,1,0.02,-1.44,0.49,-0.6,KIRI
0.03,1,0.03,-1.56,0.23,-1.61,KIRI
0.04,0.99,0.03,-1,0.3,0.03,KIRI
0.02,1,0.02,-0.96,0.62,0.21,KIRI
0.02,1.01,0.03,-0.98,0.53,-0.51,KIRI
0.01,1,0.03,-0.84,0.37,1.84,KIRI
0.02,1,0.04,-0.92,0.28,1.65,KIRI
0.02,1,0.03,-1.21,0.52,-0.18,KIRI
0.01,1,0.03,-0.94,0.45,1.17,KIRI
0.03,1,0.03,-1.2,0.51,-0.44,KIRI
0.04,1,0.02,-1.92,0.6,-4.28,KIRI
0.02,1,0.03,-1.34,0.5,-0.91,KIRI
0.02,1,0.03,-1.1,0.36,1.38,KIRI
0.02,1,0.04,-1.19,0.21,-0.26,KIRI
0.02,1,0.03,-1.1,0.3,0.05,KIRI
0.01,1,0.03,-1.6,0.49,0.14,KIRI
0.02,1,0.04,-0.78,0.29,1.36,KIRI
0.02,1,0.03,-0.62,0.31,1.43,KIRI
0.02,1,0.03,-1.05,0.43,0.33,KIRI
0.02,1,0.03,-0.98,0.56,0.08,KIRI
0.01,0.98,0.04,-0.64,0.35,0.91,KIRI
0.02,1,0.03,-1.08,0.35,-0.02,KIRI
0.01,1,0.04,-1.15,0.34,-0.43,KIRI
0.02,1,0.03,-1.15,0.4,-0.18,KIRI
0.02,1,0.02,-1.29,0.27,-0.98,KIRI
0.02,1.01,0.02,-1,0.34,0.18,KIRI
0.03,1,0.03,-1.02,0.51,-0.11,KIRI
0.02,1,0.03,-1.19,0.33,-0.71,KIRI
0.03,1,0.03,-1.21,0.29,0.67,KIRI
0.02,0.99,0.04,-0.71,0.47,1.87,KIRI
0,1,0.04,-0.86,0.27,1.34,KIRI
0.02,1,0.03,-1.31,0.35,0.27,KIRI
0.01,0.99,0.02,-1.25,0.43,0.37,KIRI
0.03,1,0.03,-0.92,0.47,1.05,KIRI
0.05,0.99,0.03,-1.05,0.36,-0.11,KIRI
0.03,1,0.03,-0.81,0.38,0.53,KIRI
0.02,1,0.03,-0.89,0.41,1.11,KIRI
0.02,1,0.03,-0.95,0.53,1.53,KIRI
0.01,1,0.04,-0.86,0.32,1.02,KIRI
0.01,1.01,0.03,-1.01,0.41,0.91,KIRI
0.02,1,0.04,-1.25,0.35,0.31,KIRI
0.01,1,0.03,-0.77,0.22,0.63,KIRI
0.03,1,0.03,-0.84,0.51,0.95,KIRI
0.02,1,0.03,-0.85,0.24,0.49,KIRI
0.03,1,0.03,-1.05,0.39,0.17,KIRI
0.02,1,0.03,-1.18,0.29,-0.73,KIRI
0.01,1,0.02,-1.05,0.47,0.27,KIRI
0.02,1,0.03,-1.21,0.18,-0.1,KIRI
0.01,1,0.04,-1.32,0.44,-0.4,KIRI
0.02,1,0.02,-1.16,0.47,-0.12,KIRI
0.02,1,0.03,-1.02,0.26,0.28,KIRI
0.01,1.06,-0.07,-0.08,-0.32,-2.12,KIRI
0.02,0.99,0.03,-1.13,0.34,0.98,KIRI
0.01,1,0.03,-1.11,0.27,0.64,KIRI
0.01,1,0.04,-1.26,0.47,-0.71,KIRI
0.01,1,0.04,-0.74,0.4,0.38,KIRI
0.02,1,0.02,-0.98,0.27,0.42,KIRI
0.01,1,0.03,-1.02,0.26,0.11,KIRI
0.01,1,0.03,-0.73,0.52,1.2,KIRI
0.01,1,0.04,-0.91,0.42,1.37,KIRI
0.03,1,0.03,-1.17,0.44,0.36,KIRI
0.02,0.99,0.03,-1.33,0.36,-0.79,KIRI
0,1,0.03,-1.34,0.35,0.85,KIRI
0.01,1.05,0.06,-0.13,0.37,0.21,KIRI
0.01,1,0.02,-1.06,0.24,0.28,KIRI
0.02,1,0.03,-0.82,0.48,-0.07,KIRI
0.01,0.99,0.02,-1.31,0.35,0.21,KIRI
0.02,1.01,0,-1.64,0.54,0.29,KIRI
0.09,1.36,0.27,1.37,0.73,-1.42,KIRI
0,1,0.05,-1.18,0.56,1.02,KIRI
0.01,1,0.02,-0.82,0.6,1.25,KIRI
0.01,1,0.04,-1.88,0.56,-0.86,KIRI
0,1.01,0.04,-0.95,0.43,-0.87,KIRI
0,1.01,0.03,-1.2,0.48,0.4,KIRI
0.03,1,0.03,-0.05,0.76,2.66,KIRI
0.01,1,0.03,-1.19,0.3,0.18,KIRI
0.03,1,0.03,-0.56,0.47,-0.67,KIRI
0.02,0.99,0.02,-0.97,0.48,1.4,KIRI
0.02,1,0.03,-0.96,0.34,0.47,KIRI
0.01,1,0.03,-1.16,0.58,0.65,KIRI
0.02,1,0.02,-1.48,0.26,-0.7,KIRI
0.03,1,0.02,-1.46,0.38,-1.33,KIRI
0.02,1,0.03,-1.08,0.33,0.25,KIRI
0,1,0.04,-1.01,0.37,1.29,KIRI
0.01,1,0.02,-1.24,0.48,0.37,KIRI
0.02,1,0.03,-1.23,0.31,0.05,KIRI
0.01,1,0.02,-1.05,0.39,-0.13,KIRI
0.03,1,0.04,-1.33,0.47,0.13,KIRI
0.02,1,0.02,-1.17,0.41,0.49,KIRI
0.01,1,0.04,-1.07,0.38,0.39,KIRI
0.02,1,0.03,-0.84,0.26,0.45,KIRI
0.03,1,0.03,-0.94,0.44,0.73,KIRI
0.01,1,0.03,-0.89,0.43,0.66,KIRI
0.02,1,0.04,-1.03,0.37,0.79,KIRI
0.01,1,0.03,-1.16,0.31,0.09,KIRI
0.02,1,0.02,-1.08,0.51,0.04,KIRI
0.03,1,0.03,-0.98,0.44,0.15,KIRI
0.01,1,0.02,-0.89,0.26,1.05,KIRI
0.02,1,0.03,-1.24,0.4,0.03,KIRI
0.02,0.99,0.04,-1.18,0.4,0.29,KIRI
0.01,1,0.03,-1.19,0.38,-0.31,KIRI
0.01,1,0.03,-1.05,0.4,0.4,KIRI
0.01,1,0.03,-1.18,0.32,0.35,KIRI
0.02,1,0.04,-1.16,0.31,0.05,KIRI
0.02,0.99,0.03,-1.22,0.63,0.42,KIRI
0.02,1,0.03,-1.24,0.45,0.28,KIRI
0.03,1,0.04,-1.21,0.5,0.11,KIRI
0.02,1,0.03,-1.12,0.67,0.85,KIRI
0.02,1,0.03,-0.97,0.3,-0.27,KIRI
0.01,1,0.03,-1.24,0.44,0,KIRI
0.02,1,0.02,-0.91,0.45,0.82,KIRI
0.03,1,0.02,-0.97,0.47,0.06,KIRI
0.02,1,0.03,-1.37,0.18,-0.55,KIRI
0.02,1,0.03,-1.08,0.16,0.73,KIRI
0.01,1,0.02,-1.06,0.37,0.01,KIRI
0.02,1,0.03,-1.28,0.49,-0.4,KIRI
0.01,1,0.04,-1.12,0.28,-0.05,KIRI
0.02,1,0.03,-1.3,0.66,0.11,KIRI
0.02,1.01,0.03,-0.95,0.27,0.21,KIRI
0.02,1,0.04,-0.95,0.52,0.56,KIRI
0.02,1,0.04,-1.05,0.44,0.37,KIRI
0.02,1,0.03,-1.24,0.37,-0.45,KIRI
0.02,1,0.01,-1.24,0.33,0.15,KIRI
0.02,1,0.03,-0.92,0.47,0.69,KIRI
0.02,1,0.04,-1.04,0.43,0.02,KIRI
0.02,1,0.03,-1.03,0.44,-0.47,KIRI
0.02,1,0.04,-1.28,0.56,-0.82,KIRI
0.01,0.99,0.04,-1.24,0.34,-0.59,KIRI
0.02,1,0.03,-1.14,0.26,-0.06,KIRI
0.02,1,0.03,-1.3,0.3,-0.82,KIRI
0.02,1,0.03,-1.29,0.34,-0.09,KIRI
0,1,0.02,-1.1,-0.61,-5.24,KIRI
0.06,0.99,0.02,-1.32,0.68,1.89,KIRI
0.02,1,0.03,-1.92,1.22,0.78,KIRI
0.03,0.99,0.01,-1.45,0.24,-1.53,KIRI
0.01,1,0.03,-0.82,0.27,1.04,KIRI
0.01,1,0.03,-0.92,0.33,1.56,KIRI
0.01,1,0.03,-0.9,0.41,-0.42,KIRI
0.01,1,0.03,-0.99,0.27,0.33,KIRI
0.02,1,0.04,-1.08,0.31,0.2,KIRI
0.02,1,0.03,-1.11,0.25,0.15,KIRI
0.02,1,0.03,-1.43,0.35,0.31,KIRI
0,1,0.04,-1.02,0.27,0.46,KIRI
0.02,1,0.03,-1.27,0.57,0.54,KIRI
0.01,1,0.03,-0.53,0.3,1.37,KIRI
0.01,1.01,0.03,-1.23,0.28,0.16,KIRI
0.01,1,0.04,-1.14,0.42,0.09,KIRI
0,1,0.02,-1.21,0.43,0.89,KIRI
0.02,1,0.02,-1.18,0.33,0.91,KIRI
0.02,1,0.03,-1.29,0.46,-0.98,KIRI
0.01,1,0.03,-1.19,0.35,-0.01,KIRI
0.02,1,0.03,-1.1,0.39,0.56,KIRI
0.01,1,0.03,-1.42,0.65,-0.04,KIRI
0,1,0.03,-1.25,0.47,-0.21,KIRI
0,1,0.03,-1.34,0.48,-0.55,KIRI
0.01,1,0.02,-1.09,0.46,-0.22,KIRI
0.01,0.99,0.04,-1.37,0.5,-0.27,KIRI
0,1,0.02,-1.26,0.34,-1.09,KIRI
0.02,1,0.03,-1.32,0.47,-0.16,KIRI
0.01,1,0.03,-0.85,0.47,0.23,KIRI
0.01,1,0.02,-1.04,0.43,0,KIRI
0.02,1,0.03,-1.03,0.53,-0.47,KIRI
0.01,1,0.04,-1.05,0.53,0.05,KIRI
0.01,1,0.02,-0.92,0.3,0.44,KIRI
0.01,1,0.02,-1.15,0.44,0.83,KIRI
0.01,1,0.03,-1.27,0.33,-0.15,KIRI
0.01,1,0.03,-1.41,0.59,0.34,KIRI
0.01,1,0.02,-1.16,0.23,-0.16,KIRI
-0.01,-0.99,0.01,-0.63,0.28,1.02,KANAN
-0.01,-0.99,0.01,-1.36,0.34,-1.03,KANAN
-0.02,-0.99,0.01,-0.73,0.34,1.37,KANAN
-0.02,-0.99,0.01,-1.47,0.62,-0.57,KANAN
-0.01,-0.99,0.01,-1.25,0.47,5.98,KANAN
-0.01,-0.99,0.01,-1.59,0.37,1.03,KANAN
-0.01,-0.99,0,-1.44,0.44,5.85,KANAN
-0.02,-0.99,0.01,-0.76,0.39,-0.44,KANAN
-0.02,-1,0.01,-0.76,0.37,-8.2,KANAN
-0.01,-0.99,0,-1.03,0.53,-0.11,KANAN
0,-0.99,0.01,-1.25,0.41,-0.77,KANAN
-0.02,-1,0,-0.92,0.35,-10.16,KANAN
-0.01,-1,0,-1.03,0.45,-3.66,KANAN
-0.01,-0.99,0,-1.34,0.39,2.66,KANAN
-0.01,-1,0,-1.12,0.69,2.36,KANAN
-0.01,-0.99,0.01,-1.05,0.3,-0.14,KANAN
-0.01,-1,-0.01,-0.96,0.29,0.69,KANAN
-0.01,-0.99,0,-0.98,0.6,0.55,KANAN
0,-0.99,0.01,-1.44,0.5,4.27,KANAN
0,-1,0,-0.3,0.58,-2.64,KANAN
-0.01,-0.99,0,-0.86,0.47,-0.62,KANAN
-0.01,-1,0.01,-0.5,0.46,-3.4,KANAN
-0.01,-1,0.01,-1.34,0.4,3.94,KANAN
-0.01,-0.99,0.01,-1.06,0.4,3.27,KANAN
0,-0.99,0.01,-0.84,0.24,-1.19,KANAN
-0.01,-1,0.01,-1.47,0.48,0.92,KANAN
-0.01,-1,0.01,-1.18,0.57,1.52,KANAN
-0.01,-0.99,0,-1.25,0.35,2.05,KANAN
-0.01,-1,0.01,-0.89,0.5,1.37,KANAN
0,-0.99,0,-1.73,0.41,9.25,KANAN
0.01,-0.98,0,-0.79,0.35,1.45,KANAN
-0.01,-0.99,0.01,-0.76,0.39,0.53,KANAN
0,-1,0,-0.56,0.35,2.51,KANAN
0,-0.99,0.01,-0.73,0.54,-1.64,KANAN
0,-0.98,0.01,-0.08,0.43,-9.61,KANAN
-0.01,-0.99,0,-1.48,0.29,-0.2,KANAN
-0.01,-1,0.01,-1.24,0.4,1.02,KANAN
0,-0.99,-0.01,-1.73,0.49,-0.06,KANAN
-0.01,-0.99,0.01,-0.91,0.29,-1.85,KANAN
-0.01,-0.99,0.02,-1.16,0.44,-0.97,KANAN
-0.01,-0.99,0.02,-1.07,0.24,0.21,KANAN
-0.01,-0.99,0.01,-1.24,0.47,-1.22,KANAN
0,-1,0.01,-1.39,0.58,0.76,KANAN
-0.01,-0.99,0.01,-1.2,0.37,3.9,KANAN
0,-0.98,0,-1.39,0.47,1.48,KANAN
-0.01,-0.99,0.01,-0.95,0.24,0.68,KANAN
-0.01,-0.99,0,-1.18,0.63,-1.44,KANAN
-0.01,-0.99,0.02,-0.86,0.37,-1.05,KANAN
-0.01,-1,-0.01,-1.24,0.4,-1.05,KANAN
-0.01,-1,0,-1.2,0.24,-0.56,KANAN
-0.01,-1,0.01,-1.11,0.5,-0.24,KANAN
-0.01,-1,0.01,-1.44,0.42,0.27,KANAN
-0.01,-0.99,0,-1.15,0.5,2,KANAN
-0.01,-0.99,0,-1.15,0.37,0.35,KANAN
-0.01,-1,0.01,-1.02,0.4,-1.21,KANAN
-0.01,-0.99,0.01,-0.85,0.4,-1.6,KANAN
0,-0.99,0,-1.14,0.31,3.38,KANAN
-0.01,-0.99,0.01,-0.98,0.37,2.24,KANAN
-0.01,-1,0.01,-0.61,0.48,-0.5,KANAN
0,-1,0.01,-0.56,0.38,0.74,KANAN
-0.01,-1,0.02,-1,0.24,-1.29,KANAN
-0.01,-1,0,-0.82,0.29,2,KANAN
-0.01,-1,0,-1.29,0.25,0.22,KANAN
0,-0.99,0.01,-1.21,0.43,-2.71,KANAN
